id,tipo_geometria,num_puntos,longitud,latitud,longitud_final,latitud_final,centro_longitud,centro_latitud,area_aproximada,cuadrante
193,LineString,5,281007.6864,8660192.0977,283014.429,8660347.2598,282010.968211,8660270.84808,,NE
194,LineString,4,274485.4821,8661854.5576,275524.0066,8661494.0192,275004.792749,8661674.416342,,NE
195,LineString,16,275524.0066,8661494.0192,275969.4152,8661222.8409,275762.675018,8661382.703926,,NE
196,LineString,16,283694.4854,8658518.3345,284720.0347,8658163.9393,284209.010369,8658349.922353,,NE
197,LineString,8,282470.3234,8650824.565,281708.8499,8651604.6525,282089.533332,8651214.558705,,NE
198,LineString,3,282229.3411,8658387.6627,282579.4596,8657897.8541,282404.400353,8658142.758402,,NE
199,LineString,2,282579.4596,8657897.8541,282681.833,8657756.4006,282630.6463,8657827.12735,,NE
200,LineString,3,271342.4827,8672093.5695,271083.3228,8672623.7956,271214.527459,8672359.490078,,NE
201,LineString,3,274447.0786,8671940.8508,275503.7792,8672104.1305,274975.125744,8672024.433073,,NE
202,LineString,17,273268.0215,8671854.8322,274447.0786,8671940.8508,273858.717425,8671888.760253,,NE
203,LineString,5,276388.102,8671794.7052,275573.748,8671667.6443,275980.600598,8671733.188915,,NE
204,LineString,16,275208.7099,8667225.8524,273767.5572,8667055.9683,274487.621249,8667144.425108,,NE
205,LineString,9,273139.3586,8665823.0834,271708.8635,8665661.8967,272424.492295,8665739.63237,,NE
206,LineString,2,273269.0072,8665841.1188,273139.3586,8665823.0834,273204.1829,8665832.1011,,NE
207,LineString,13,275326.813,8666301.7437,273269.0072,8665841.1188,274297.103692,8666074.573983,,NE
208,LineString,22,275305.8978,8669481.5843,275843.7196,8670032.2556,275555.651678,8669770.491229,,NE
209,LineString,5,275224.7696,8669223.7756,275305.8978,8669481.5843,275283.682003,8669329.032459,,NE
210,LineString,6,277760.6944,8665957.9092,278008.2699,8665491.6484,277883.922331,8665724.484524,,NE
211,LineString,5,279460.5894,8654233.0236,280173.5678,8653484.4582,279817.145752,8653858.807412,,NE
212,LineString,31,281708.8499,8651604.6525,281550.0511,8652259.624,281578.579284,8651912.419585,,NE
213,LineString,21,281544.2421,8652572.2565,280256.6262,8654069.5663,280892.615945,8653314.168133,,NE
